participants,item,genre_grammatical,score_miserky,description,stereotype,numero_item,question,score,RT,genre_gram_le
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,graphiste,le,0.43,neutre_le,neutre,5,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,paysagiste,le,0.28,masculin_le,masculin,18,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,réceptionniste,le,0.74,feminin_le,feminin,4,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,vétérinaire,le,0.49,neutre_le,neutre,35,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,neurologue,le,0.32,masculin_le,masculin,12,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,bibliothécaire,le,0.67,feminin_le,feminin,34,1.,NA,NA,ale
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,pédiatre,la,0.51,neutre_la,neutre,32,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,manucure,la,0.9,feminin_la,feminin,13,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,bagagiste,la,0.19,masculin_la,masculin,15,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,photographe,la,0.45,neutre_la,neutre,20,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,flûtiste,la,0.63,feminin_la,feminin,7,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,croque-mort,la,0.23,masculin_la,masculin,27,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,physiothérapeute,la,0.51,neutre_la,neutre,26,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,babysitter,la,0.9,feminin_la,feminin,31,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,pilote,la,0.24,masculin_la,masculin,33,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,journaliste,la,0.46,neutre_la,neutre,2,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,secrétaire,la,0.82,feminin_la,feminin,1,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,clown,la,0.18,masculin_la,masculin,21,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,violoniste,la,0.56,neutre_la,neutre,8,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,mannequin,la,0.68,feminin_la,feminin,19,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,bassiste,la,0.29,masculin_la,masculin,9,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,guide touristique,la,0.44,neutre_la,neutre,14,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,modèle,la,0.65,feminin_la,feminin,25,1.,NA,NA,la
1541872852 3dd6b43b4ae910291c9767df1bbe6c5d,diplomate,la,0.29,masculin_la,masculin,3,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,secrétaire,le,0.82,feminin_le,feminin,2,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,pilote,le,0.24,masculin_le,masculin,31,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,physiothérapeute,le,0.51,neutre_le,neutre,27,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,manucure,le,0.9,feminin_le,feminin,14,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,diplomate,le,0.29,masculin_le,masculin,1,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,guide touristique,le,0.44,neutre_le,neutre,15,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,flûtiste,le,0.63,feminin_le,feminin,8,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,clown,le,0.18,masculin_le,masculin,19,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,violoniste,le,0.56,neutre_le,neutre,9,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,modèle,le,0.65,feminin_le,feminin,26,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,croque-mort,le,0.23,masculin_le,masculin,25,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,photographe,le,0.45,neutre_le,neutre,21,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,babysitter,le,0.9,feminin_le,feminin,32,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,bassiste,le,0.29,masculin_le,masculin,7,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,journaliste,le,0.46,neutre_le,neutre,3,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,mannequin,le,0.68,feminin_le,feminin,20,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,bagagiste,le,0.19,masculin_le,masculin,13,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,pédiatre,le,0.51,neutre_le,neutre,33,1.,NA,NA,ale
1542027946 74e4b09ef094269dd63b667726c7b338,graphiste,la,0.43,neutre_la,neutre,6,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,neurologue,la,0.32,masculin_la,masculin,10,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,logopédiste,la,0.66,feminin_la,feminin,23,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,zoologiste,la,0.48,neutre_la,neutre,18,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,paysagiste,la,0.28,masculin_la,masculin,16,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,nutritionniste,la,0.74,feminin_la,feminin,11,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,sténographe,la,0.5,neutre_la,neutre,30,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,métallurgiste,la,0.21,masculin_la,masculin,34,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,dactylo,la,0.65,feminin_la,feminin,29,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,vétérinaire,la,0.49,neutre_la,neutre,36,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,chimiste,la,0.3,masculin_la,masculin,22,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,fleuriste,la,0.81,feminin_la,feminin,17,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,gynécologue,la,0.55,neutre_la,neutre,12,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,ministre,la,0.25,masculin_la,masculin,4,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,bibliothécaire,la,0.67,feminin_la,feminin,35,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,biologiste,la,0.48,neutre_la,neutre,24,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,taxidermiste,la,0.3,masculin_la,masculin,28,1.,NA,NA,la
1542027946 74e4b09ef094269dd63b667726c7b338,réceptionniste,la,0.74,feminin_la,feminin,5,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,guide touristique,le,0.44,neutre_le,neutre,13,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,secrétaire,le,0.82,feminin_le,feminin,3,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,bassiste,le,0.29,masculin_le,masculin,8,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,physiothérapeute,le,0.51,neutre_le,neutre,25,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,babysitter,le,0.9,feminin_le,feminin,33,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,bagagiste,le,0.19,masculin_le,masculin,14,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,photographe,le,0.45,neutre_le,neutre,19,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,modèle,le,0.65,feminin_le,feminin,27,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,croque-mort,le,0.23,masculin_le,masculin,26,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,journaliste,le,0.46,neutre_le,neutre,1,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,manucure,le,0.9,feminin_le,feminin,15,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,clown,le,0.18,masculin_le,masculin,20,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,pédiatre,le,0.51,neutre_le,neutre,31,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,mannequin,le,0.68,feminin_le,feminin,21,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,diplomate,le,0.29,masculin_le,masculin,2,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,violoniste,le,0.56,neutre_le,neutre,7,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,flûtiste,le,0.63,feminin_le,feminin,9,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,pilote,le,0.24,masculin_le,masculin,32,1.,NA,NA,ale
1542048366 e41eb91bc77939ed9b1f462033fb0b53,réceptionniste,la,0.74,feminin_la,feminin,6,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,biologiste,la,0.48,neutre_la,neutre,22,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,chimiste,la,0.3,masculin_la,masculin,23,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,fleuriste,la,0.81,feminin_la,feminin,18,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,graphiste,la,0.43,neutre_la,neutre,4,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,métallurgiste,la,0.21,masculin_la,masculin,35,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,nutritionniste,la,0.74,feminin_la,feminin,12,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,gynécologue,la,0.55,neutre_la,neutre,10,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,neurologue,la,0.32,masculin_la,masculin,11,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,dactylo,la,0.65,feminin_la,feminin,30,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,sténographe,la,0.5,neutre_la,neutre,28,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,ministre,la,0.25,masculin_la,masculin,5,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,logopédiste,la,0.66,feminin_la,feminin,24,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,vétérinaire,la,0.49,neutre_la,neutre,34,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,taxidermiste,la,0.3,masculin_la,masculin,29,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,bibliothécaire,la,0.67,feminin_la,feminin,36,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,zoologiste,la,0.48,neutre_la,neutre,16,1.,NA,NA,la
1542048366 e41eb91bc77939ed9b1f462033fb0b53,paysagiste,la,0.28,masculin_la,masculin,17,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,physiothérapeute,le,0.51,neutre_le,neutre,25,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,mannequin,le,0.68,feminin_le,feminin,21,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,bagagiste,le,0.19,masculin_le,masculin,14,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,guide touristique,le,0.44,neutre_le,neutre,13,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,flûtiste,le,0.63,feminin_le,feminin,9,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,croque-mort,le,0.23,masculin_le,masculin,26,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,violoniste,le,0.56,neutre_le,neutre,7,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,modèle,le,0.65,feminin_le,feminin,27,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,diplomate,le,0.29,masculin_le,masculin,2,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,journaliste,le,0.46,neutre_le,neutre,1,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,secrétaire,le,0.82,feminin_le,feminin,3,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,bassiste,le,0.29,masculin_le,masculin,8,1.,NA,NA,ale
